#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs
251,Devil's Harvest Extra Pale Ale,Southern Prohibition Brewing Com...,"Hattiesburg, MS",American Pale Ale (APA),16 oz.,???,N/A
252,Devil‰Ûªs Ale (2010),SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),12 oz.,5.50%,45
253,Devil‰Ûªs Ale,SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),12 oz.,5.50%,45
254,Devils Tramping Ground Tripel,Aviator Brewing Company,"Fuquay-Varina, NC",Tripel,12 oz.,9.20%,5
255,Diesel,Sixpoint Craft Ales,"Brooklyn, NY",American Stout,16 oz.,6.30%,69
256,Dirty Blonde Ale,Atwater Brewery,"Detroit, MI",American Blonde Ale,12 oz.,4.50%,8
257,Dirty Hippie Dark Wheat,Palisade Brewing Company,"Palisade, CO",American Dark Wheat Ale,12 oz.,5.30%,N/A
258,Disconnected Red,Big Choice Brewing,"Broomfield, CO",American Amber / Red Ale,16 oz.,6.70%,85
259,Dock Street Amber Beer (1992),Dock Street Brewery,"Philadelphia, PA",American Amber / Red Ale,12 oz.,???,N/A
260,Dolores River Dry Stout,Dolores River Brewery,"Dolores, CO",Irish Dry Stout,16 oz.,???,N/A
261,Dolores River ESB,Dolores River Brewery,"Dolores, CO",Extra Special / Strong Bitter (ESB),16 oz.,???,N/A
262,Dolores River Hefeweizen,Dolores River Brewery,"Dolores, CO",Hefeweizen,16 oz.,???,N/A
263,Dolores River Mild,Dolores River Brewery,"Dolores, CO",English Dark Mild Ale,16 oz.,???,N/A
264,Dolores River Pale Ale,Dolores River Brewery,"Dolores, CO",American Pale Ale (APA),16 oz.,???,N/A
265,Dottie Seattle Lager,Emerald City Beer Company,"Seattle, WA",American Amber / Red Lager,16 oz.,4.90%,25
266,Double Bag,Long Trail Brewing Company,"Bridgewater Corners, VT",Altbier,16 oz.,7.20%,33
267,Double D Blonde,Hop Valley Brewing Company,"Springfield, OR",American Blonde Ale,12 oz.,4.90%,20
268,Double Haul IPA,Kettle House Brewing Company,"Missoula, MT",American IPA,16 oz.,6.50%,65
269,Double Haul IPA (2006),Kettle House Brewing Company,"Missoula, MT",American IPA,16 oz.,6.50%,65
270,Double Haul IPA (2009),Kettle House Brewing Company,"Missoula, MT",American IPA,16 oz.,6.50%,65
271,Downpour,Foolproof Brewing Company,"Pawtucket, RI",American Porter,12 oz.,6.50%,N/A
272,Draught Hard Apple Cider,Uncle John's Fruit House Winery,"St. John's, MI",Cider,16 oz.,6.50%,N/A
273,Drop Dead Blonde,Stevens Point Brewery,"Stevens Point, WI",American Blonde Ale,12 oz.,3.50%,N/A
274,Dry Dock Amber Ale,Dry Dock Brewing Company,"Aurora, CO",American Amber / Red Ale,12 oz.,5.80%,49
275,Dry Dock Hefeweizen,Dry Dock Brewing Company,"Aurora, CO",Hefeweizen,12 oz.,4.30%,12
276,Dry Heat Hefeweizen (2006),Mudshark Brewing Company,"Lake Havasu City, AZ",Hefeweizen,12 oz.,5.50%,N/A
277,Duckpin Pale Ale,Union Craft Brewing,"Baltimore, MD",American Pale Ale (APA),12 oz.,5.50%,N/A
278,Dundee Summer Wheat Beer,Dundee Brewing Company,"Rochester, NY",American Pale Wheat Ale,12 oz.,4.50%,18
279,Dunkel Lager,Sly Fox Brewing Company,"Phoenixville, PA",Munich Dunkel Lager,12 oz.,5.30%,21
280,East India Pale Ale,Brooklyn Brewery,"Brooklyn, NY",English India Pale Ale (IPA),12 oz.,6.80%,47
281,Easy Rider Pale Ale,Lucette Brewing Company,"Menominie, WI",American Pale Ale (APA),16 oz.,5.20%,N/A
282,Eclipse Black IPA,Crabtree Brewing Company,"Greeley, CO",American Black Ale,16 oz.,7.70%,71
283,Eddy Out Pale Ale,Kettle House Brewing Company,"Missoula, MT",American Pale Ale (APA),16 oz.,5.50%,50
284,Elder Betty,Magic Hat Brewing Company,"South Burlington, VT",Hefeweizen,12 oz.,5.50%,13
285,Elevated IPA,La Cumbre Brewing Company,"Albuquerque, NM",American IPA,16 oz.,7.20%,100
286,Elevation Triple India Pale Ale,Renegade Brewing Company,"Denver, CO",American Double / Imperial IPA,12 oz.,11%,100
287,Ellie‰Ûªs Brown Ale,Avery Brewing Company,"Boulder, CO",American Brown Ale,12 oz.,5.50%,17
288,Elm City Lager (2007),New England Brewing Company,"Woodbridge, CT",American Pilsner,12 oz.,5%,N/A
289,Elm City Pilsner,New England Brewing Company,"Woodbridge, CT",American Pilsner,12 oz.,5%,N/A
290,Endless Summer Ale,Old Forge Brewing Company,"Danville, PA",American Pale Wheat Ale,16 oz.,4.80%,N/A
291,EOS Hefeweizen,Nebraska Brewing Company,"Papillion, NE",Hefeweizen,12 oz.,4.80%,10
292,Epic IPA,Mammoth Brewing Company,"Mammoth Lakes, CA",American IPA,12 oz.,6.50%,N/A
293,Epicenter Amber Ale (2010),SanTan Brewing Company,"Chandler, AZ",American Amber / Red Ale,12 oz.,5.50%,20
294,Epicenter Amber Ale,SanTan Brewing Company,"Chandler, AZ",American Amber / Red Ale,12 oz.,5.50%,20
295,ESB Special Ale,Ska Brewing Company,"Durango, CO",Extra Special / Strong Bitter (ESB),12 oz.,5.70%,58
296,Escoffier Bretta Ale,Brewery Vivant,"Grand Rapids, MI",American Wild Ale,16 oz.,9.20%,N/A
297,Eugene Porter,Revolution Brewing Company,"Chicago, IL",American Porter,12 oz.,6.80%,28
298,Euphoria Pale Ale,Ska Brewing Company,"Durango, CO",American Pale Ale (APA),12 oz.,6.10%,N/A
299,Evolutionary IPA (2011),Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,6.20%,70
300,Evolutionary IPA,Two Beers Brewing Company,"Seattle, WA",American IPA,12 oz.,6.20%,70
301,Ex Umbris Rye Imperial Stout,Hess Brewing Company,"San Diego, CA",American Double / Imperial Stout,16 oz.,10%,85
302,Expedition Amber Ale,Harmon Brewing Company,"Tacoma, WA",American Amber / Red Ale,16 oz.,???,N/A
303,Face Down Brown Ale,Telluride Brewing Company,"Telluride, CO",American Brown Ale,12 oz.,5.70%,N/A
304,Fairweather IPA,Broken Tooth Brewing Company,"Anchorage, AK",American IPA,12 oz.,6.10%,64
305,Farm Girl Saison,Lift Bridge Brewing Company,"Stillwater, MN",Saison / Farmhouse Ale,16 oz.,6%,30
306,Farm Hand,Brewery Vivant,"Grand Rapids, MI",Saison / Farmhouse Ale,16 oz.,5.50%,N/A
307,Farmer Brown Ale,Great River Brewery,"Davenport, IA",American Brown Ale,16 oz.,7%,22
308,Farmer John's Multi-Grain Ale,Confluence Brewing Company,"Des Moines, IA",American Blonde Ale,16 oz.,5.60%,21
309,Farmer Ted's Farmhouse Cream Ale,Catawba Valley Brewing Company,"Morganton, NC",Cream Ale,12 oz.,5.60%,N/A
310,Fascist Pig Ale,Finch's Beer Company,"Chicago, IL",American Amber / Red Ale,16 oz.,8%,72
311,Fat Tire Amber Ale,New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,12 oz.,5.20%,N/A
312,Fat Tire Amber Ale,New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,16 oz.,5.20%,N/A
313,Fat Tire Amber Ale (2011),New Belgium Brewing Company,"Fort Collins, CO",American Amber / Red Ale,12 oz.,5.20%,N/A
314,Fearless Scottish Ale,Fearless Brewing Company,"Estacada, OR",Scottish Ale,16 oz.,5%,N/A
315,Festie,Starr Hill Brewery,"Crozet, VA",MÌ_rzen / Oktoberfest,12 oz.,4.80%,12
316,Field 41 Pale Ale,Bale Breaker Brewing Company,"Moxee, WA",American Pale Ale (APA),12 oz.,4.40%,38
317,Fire Eagle IPA,Austin Beerworks,"Austin, TX",American IPA,12 oz.,6.20%,N/A
318,Firefly Amber Ale,Jackie O's Pub & Brewery,"Athens, OH",American Amber / Red Ale,12 oz.,5%,N/A
319,Firemans #4 Blonde Ale,Real Ale Brewing Company,"Blanco, TX",American Blonde Ale,12 oz.,5.10%,21
320,Fireside Chat (2010),21st Amendment Brewery,"San Francisco, CA",Winter Warmer,12 oz.,7.90%,45
321,Fireside Chat,21st Amendment Brewery,"San Francisco, CA",Winter Warmer,12 oz.,7.90%,45
322,Firestarter India Pale Ale,Bonfire Brewing Company,"Eagle, CO",American IPA,16 oz.,6.60%,72
323,Firewater India Pale Ale,Catawba Valley Brewing Company,"Morganton, NC",American IPA,12 oz.,5.20%,N/A
324,Fistmas Ale,Revolution Brewing Company,"Chicago, IL",Herbed / Spiced Beer,12 oz.,6.10%,31
325,Flagship Ale,Grey Sail Brewing of Rhode Island,"Westerly, RI",Cream Ale,12 oz.,4.90%,22
326,Flagship IPA,Carolina Brewery,"Pittsboro, NC",English India Pale Ale (IPA),12 oz.,5.70%,N/A
327,Flaming Damsel Lager (2010),Milwaukee Brewing Company,"Milwaukee, WI",Vienna Lager,16 oz.,4.80%,18
328,Floppin' Crappie,Northwoods Brewpub,"Eau Claire, WI",American Pale Wheat Ale,12 oz.,4.50%,N/A
329,Florida Cracker Belgian Wit,Cigar City Brewing Company,"Tampa, FL",Witbier,12 oz.,5%,18
